,longitude,latitude,depth,county,prefmag,geo_region,well_distance,rup_area,radius,wells_qty
25961,-96.7555,35.53966667,7.51,Lincoln,1.7,3,1.950154836,0.01,0.31,0
25962,-97.3455,35.80583333,6.49,Logan,1.4,7,7.332088207,0.01,0.2,0
25963,-98.971,36.53,6.35,Woodward,1.9,7,2.282456444,0.02,0.36,0
25964,-96.6805,35.86366667,7.41,Lincoln,0.7,3,3.637722204,0,0.1,0
25965,-98.99333333,36.52083333,6.37,Woodward,0.3,7,1.660866415,0,0.06,0
25966,-97.707,35.21366667,6.78,McClain,0.6,7,5.192665042,0,0.08,0
25967,-97.6935,35.18616667,7.59,McClain,0.7,7,3.062578149,0,0.1,0
25968,-97.67583333,35.20966667,7,McClain,0.7,7,5.95418396,0,0.09,0
25969,-97.698,35.24633333,7,McClain,0.8,7,2.303937001,0,0.11,0
25970,-98.9275,36.316,7.92,Dewey,1.8,7,0.922077106,0.01,0.35,1
25971,-97.51983333,36.29116667,5,Noble,1.5,7,2.279834947,0.01,0.2,0
25972,-98.9725,36.52983333,7.34,Woodward,1.3,7,2.409778397,0,0.19,0
25973,-98.97016667,36.531,6.77,Woodward,1.7,7,2.164845395,0.01,0.29,0
25974,-98.97116667,36.53016667,7.33,Woodward,1,7,2.286867299,0,0.14,0
25975,-98.9725,36.52983333,7.24,Woodward,1.1,7,2.409778397,0,0.15,0
25976,-98.97116667,36.5285,7,Woodward,0.9,7,2.379094049,0,0.12,0
25977,-98.9715,36.53283333,6.94,Woodward,1,7,2.192246428,0,0.13,0
25978,-98.9675,36.52583333,7.18,Woodward,0.8,7,2.296183497,0,0.11,0
25979,-97.73683333,35.053,10.24,McClain,2,7,0.720252296,0.02,0.51,0
25980,-97.7065,35.06833333,14.78,McClain,2.2,7,2.101495312,0.03,0.77,0
25982,-97.83233333,35.84466667,7.66,Kingfisher,1.7,9,0.418799972,0.01,0.31,2
25983,-98.07433333,36.7635,6.32,Alfalfa,1.7,9,0.888077549,0.01,0.28,1
25984,-98.0705,36.762,6.92,Alfalfa,2.5,9,1.15883906,0.06,0.74,0
25985,-97.66516667,36.70233333,7.38,Grant,1.9,9,9.703259971,0.02,0.38,0
25986,-97.68866667,36.69466667,7.93,Grant,1.8,9,7.559767959,0.01,0.35,0
25987,-97.53116667,35.978,4.45,Logan,1.2,7,2.699472228,0,0.13,0
25988,-97.6725,36.69533333,7.98,Grant,1.9,9,8.780316603,0.02,0.4,0
25989,-98.17983333,35.71766667,13.62,Blaine,1.9,9,0.739981048,0.02,0.52,2
25990,-96.68683333,35.84766667,6.6,Lincoln,1.7,3,5.470814174,0.01,0.29,0
25991,-97.56316667,35.73416667,6.5,Oklahoma,2.3,7,1.63825826,0.04,0.57,0
25992,-97.56033333,35.73366667,6.73,Oklahoma,2.4,7,1.527469123,0.05,0.65,0
25993,-98.1695,36.3665,7,Alfalfa,1.8,9,3.981651579,0.01,0.33,0
25994,-97.6675,36.7035,7.31,Grant,1.8,9,9.459032725,0.01,0.34,0
25995,-97.6695,36.7005,6.89,Grant,1.5,9,9.322423905,0.01,0.23,0
25996,-98.9305,36.30916667,5.96,Dewey,1.9,7,0.270869844,0.02,0.34,1
25997,-96.06183333,34.3045,4,Atoka,2.2,4,3.900201857,0.03,0.4,0
25998,-97.50566667,36.82916667,6.15,Kay,1.8,9,1.483456174,0.01,0.31,0
25999,-97.82883333,36.404,7.14,Garfield,1.7,9,0.766204447,0.01,0.3,1
26000,-98.09283333,36.02983333,5.57,Kingfisher,1.8,7,3.978369626,0.01,0.3,0
26001,-98.16633333,36.36533333,5.82,Alfalfa,1.6,9,4.293795939,0.01,0.24,0
26002,-98.263,36.28333333,7.28,Blaine,2.4,9,3.446791451,0.05,0.68,0
26003,-97.913,36.09633333,5.52,Kingfisher,1.5,9,0.713104478,0.01,0.21,0
26005,-97.76166667,35.243,5.54,Grady,2.1,7,3.979401416,0.03,0.42,0
26006,-98.09883333,36.02533333,6.67,Kingfisher,1.9,7,3.546796361,0.02,0.36,0
26007,-97.7485,35.24583333,4,Grady,2.3,7,2.775155655,0.04,0.45,0
